doc,query,pq_q_recall,pq_q_ap,q_weight_perc
AP880421-0011,119,0.25,0.047619047619047616,0.1
AP880421-0011,138,0.0,0.0,0.0
AP891020-0231,159,0.0,0.0,0.0
AP890817-0039,154,0.0,0.0,0.0
AP890325-0114,150,0.25,0.3333333333333333,0.18181818181818182
AP880510-0175,138,0.0,0.0,0.0
AP891108-0064,172,0.08333333333333333,0.125,0.19230769230769232
AP891108-0064,173,0.5,0.5,0.19230769230769232
AP890810-0212,165,0.3333333333333333,0.1875,0.23529411764705882
AP891104-0133,105,0.0,0.0,0.0
AP891104-0133,195,0.5,0.5102040816326531,0.5490196078431373
AP890720-0241,106,0.4,0.12222222222222223,0.13793103448275862
AP890720-0241,190,0.0,0.0,0.0
AP890816-0057,192,0.6666666666666666,0.25,0.2077922077922078
AP890816-0057,154,1.0,0.375,0.2077922077922078
AP880618-0079,181,0.0,0.0,0.0
AP880216-0127,111,0.5,0.16666666666666666,0.13131313131313133
AP880216-0127,127,0.0,0.0,0.0
AP880418-0006,130,0.16666666666666666,0.025,0.05714285714285714
AP880318-0173,115,0.16666666666666666,0.041666666666666664,0.09433962264150944
AP880706-0138,187,0.0,0.0,0.0
AP880706-0138,137,0.0,0.0,0.0
AP880302-0232,180,0.0,0.0,0.0
AP890416-0082,192,0.6666666666666666,0.6666666666666666,0.3684210526315789
AP880920-0161,146,0.0,0.0,0.0
AP891119-0020,110,0.0,0.0,0.0
AP890313-0100,130,0.16666666666666666,0.08333333333333333,0.10204081632653061
AP891229-0168,189,0.25,0.16666666666666666,0.1206896551724138
AP880929-0138,143,0.0,0.0,0.0
AP880825-0236,108,0.3333333333333333,0.05555555555555555,0.07142857142857142
AP880825-0236,141,0.2,0.4,0.2857142857142857
AP890711-0158,193,0.0,0.0,0.0
AP880908-0152,194,0.0,0.0,0.0
AP891107-0244,189,0.0,0.0,0.0
AP880420-0258,187,0.0,0.0,0.0
AP880215-0223,198,0.14285714285714285,0.03571428571428571,0.07692307692307693
AP880215-0223,135,0.14285714285714285,0.02857142857142857,0.07692307692307693
AP880215-0223,134,0.0,0.0,0.0
AP881104-0070,199,0.2,0.0625,0.0967741935483871
AP881029-0101,156,0.0,0.0,0.0
AP880226-0220,186,0.0,0.0,0.0
AP880226-0220,185,0.16666666666666666,0.06666666666666667,0.08602150537634409
AP880226-0220,103,0.5,0.1,0.08602150537634409
AP890817-0173,159,0.3333333333333333,0.3333333333333333,0.18421052631578946
AP890227-0287,147,0.0,0.0,0.0
AP880617-0289,142,0.0,0.0,0.0
AP880617-0289,108,0.0,0.0,0.0
AP880617-0289,141,0.2,0.3,0.37037037037037035
AP880726-0143,152,0.0,0.0,0.0
AP890703-0148,156,0.0,0.0,0.0
AP890301-0238,172,0.08333333333333333,0.125,0.19230769230769232
AP890301-0238,125,0.2,0.25,0.19230769230769232
AP890301-0238,173,0.5,0.5,0.19230769230769232
AP880401-0284,189,0.0,0.0,0.0
AP880421-0122,158,0.0,0.0,0.0
AP880421-0122,156,0.0,0.0,0.0
AP891215-0105,134,0.0,0.0,0.0
AP890524-0142,199,0.0,0.0,0.0
AP880701-0042,188,0.0,0.0,0.0
AP890308-0120,130,0.16666666666666666,0.03125,0.08333333333333333
AP891113-0164,189,0.0,0.0,0.0
AP880614-0056,165,0.16666666666666666,0.0625,0.125
AP880614-0056,183,0.0,0.0,0.0
AP890619-0215,192,0.6666666666666666,0.2619047619047619,0.17391304347826086
AP891125-0082,129,0.0,0.0,0.0
AP891125-0082,114,0.0,0.0,0.0
AP891125-0082,149,0.0,0.0,0.0
AP880829-0248,141,0.3,0.29333333333333333,0.3291139240506329
AP880310-0268,167,0.0,0.0,0.0
AP890126-0068,189,0.25,0.05555555555555555,0.05714285714285714
AP881213-0156,143,0.0,0.0,0.0
AP890621-0225,192,0.6666666666666666,0.5,0.3780487804878049
AP890621-0225,154,1.0,0.75,0.3780487804878049
AP890828-0248,195,0.25,0.11904761904761904,0.24561403508771928
AP890712-0145,189,0.0,0.0,0.0
AP890908-0081,151,0.25,0.03333333333333333,0.07692307692307693
AP890919-0211,190,0.125,0.125,0.18840579710144928
AP891220-0104,152,0.0,0.0,0.0
